business_id,business_name,business_address,business_city,business_latitude,business_longitude,business_location
61056,Town School For Boys,2750 JACKSON St,San Francisco,37.791777,-122.440355,POINT (-122.440355 37.791777)
1579,Nick's Lighthouse,Foot of Taylor St 5,San Francisco,37.802479,-122.411234,POINT (-122.411234 37.802479)
36589,Catering With Style,2800 BRYANT St,San Francisco,37.749603,-122.408928,POINT (-122.408928 37.749603)
64154,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,San Francisco,37.794457,-122.407896,POINT (-122.407896 37.794457)
62277,Tacos San Buena,16th & Shotwell St,San Francisco,37.779847,-122.418985,POINT (-122.418985 37.779847)
2292,ORIENTAL SEAFOOD RESTAURANT,2520 NORIEGA St,San Francisco,37.753638,-122.490712,POINT (-122.490712 37.753638)
3190,NORIEGA TERIYAKI HOUSE,1755 NORIEGA St,San Francisco,37.753953,-122.482629,POINT (-122.482629 37.753953)
552,Loi's Vietnamese Restaurant,2228 Irving St,San Francisco,37.763428,-122.481736,POINT (-122.481736 37.763428)
3082,ONE MARKET RESTAURANT,1 MARKET St,San Francisco,37.794347,-122.394932,POINT (-122.394932 37.794347)
32872,Matador,679 Sutter St,San Francisco,37.788823,-122.411507,POINT (-122.411507 37.788823)
874,Pancho's Salsa Bar & Grill,1639 Polk St,San Francisco,37.792093,-122.421024,POINT (-122.421024 37.792093)
32919,New Princess Market,500 Eddy St,San Francisco,37.783559,-122.41595,POINT (-122.41595 37.783559)
6625,House of Coffee,1618 Noriega St,San Francisco,37.754058,-122.481201,POINT (-122.481201 37.754058)
3738,CINDERELLA BAKERY & CAFE,0436 BALBOA St,San Francisco,37.777299,-122.463353,POINT (-122.463353 37.777299)
32925,Papalote,3409 24th St,San Francisco,37.752073,-122.420939,POINT (-122.420939 37.752073)
4777,SOUTH BEACH CAFE,800 EMBARCADERO St,San Francisco,37.781556,-122.388484,POINT (-122.388484 37.781556)
95130,Sidewalk Juice,3100 24th St,San Francisco,,,
63169,Grand Coffee,2663 Mission St,San Francisco,37.754383,-122.418616,POINT (-122.418616 37.754383)
7728,PETE'S UNOCAL 76,3701 Noriega St,San Francisco,37.753003,-122.503549,POINT (-122.503549 37.753003)
18767,Wonderful Dessert & Cafe,2035 IRVING St,San Francisco,37.763399,-122.479654,POINT (-122.479654 37.763399)
268,LOS HERMANOS,2026 CHESTNUT St,San Francisco,37.800767,-122.436924,POINT (-122.436924 37.800767)
2737,CAFFE' ROMA,885 Bryant St,San Francisco,37.774677,-122.404222,POINT (-122.404222 37.774677)
5796,APTOS MIDDLE SCHOOL,105 APTOS Ave,San Francisco,37.730198,-122.466238,POINT (-122.466238 37.730198)
7087,VALENCIA FARMER'S MARKET,1299 VALENCIA St,San Francisco,37.752162,-122.420585,POINT (-122.420585 37.752162)
1619,BENDERS BAR & GRILL,800-806 SOUTH VAN NESS Ave,San Francisco,37.76031,-122.417123,POINT (-122.417123 37.76031)
816,B & J QUARTER POUNDER BURGERS,6202 03rd St,San Francisco,37.722374,-122.395841,POINT (-122.395841 37.722374)
25161,Westin St Francis - Main Kitchen,335 Powell St 2nd Floor,San Francisco,37.7877,-122.408345,POINT (-122.408345 37.7877)
2638,SF BAGEL CO. (KATZ BAGELS),3147 16th St,San Francisco,37.764814,-122.423089,POINT (-122.423089 37.764814)
102,Akiko's Sushi Bar,542A Mason St,San Francisco,37.788484,-122.410045,POINT (-122.410045 37.788484)
27350,18th Street Commissary,3334 18th St,San Francisco,37.761965,-122.417948,POINT (-122.417948 37.761965)
3429,"Safeway Stores, Inc. #1206",350 Bay St,San Francisco,37.805758,-122.412774,POINT (-122.412774 37.805758)
25167,Glaze Donuts,4499 Mission St A,San Francisco,37.726402,-122.433476,POINT (-122.433476 37.726402)
3256,"Connection, The",5740 MISSION St,San Francisco,37.709737,-122.45007,POINT (-122.45007 37.709737)
63169,Grand Coffee,2663 Mission St,San Francisco,37.754383,-122.418616,POINT (-122.418616 37.754383)
18767,Wonderful Dessert & Cafe,2035 IRVING St,San Francisco,37.763399,-122.479654,POINT (-122.479654 37.763399)
1692,Plouf,40 Belden Pl,San Francisco,37.791318,-122.403757,POINT (-122.403757 37.791318)
23273,Mike Market,2200 SILVER Ave,San Francisco,37.736484,-122.398418,POINT (-122.398418 37.736484)
34858,The Mary Elizabeth Inn,1040 Bush St,San Francisco,37.789518,-122.414409,POINT (-122.414409 37.789518)
1021,LA SANTANECA DE LA MISSION,2815 MISSION St,San Francisco,37.751885,-122.418406,POINT (-122.418406 37.751885)
639,Swan Oyster Depot,1517 Polk St,San Francisco,37.790734,-122.420783,POINT (-122.420783 37.790734)
7243,CASA LUCAS #3,4555 MISSION St,San Francisco,37.725432,-122.434216,POINT (-122.434216 37.725432)
7489,GAS & SHOP,599 South Van Ness Ave,San Francisco,37.763803,-122.417326,POINT (-122.417326 37.763803)
12970,LA COCINA,2948 FOLSOM STREET,San Francisco,37.750134,-122.413935,POINT (-122.413935 37.750134)
628,EL BURRITO EXPRESS #2,1812 DIVISADERO St,San Francisco,37.786407,-122.440057,POINT (-122.440057 37.786407)
1345,Cordon Bleu,1574 California St,San Francisco,37.790683,-122.420264,POINT (-122.420264 37.790683)
1347,CREPES ON COLE,100 CARL St,San Francisco,37.765778,-122.450184,POINT (-122.450184 37.765778)
4502,LA LOMA PRODUCE #7,2695 San Bruno Ave,San Francisco,37.727739,-122.403579,POINT (-122.403579 37.727739)
2523,VENICE PIZZA AND RESTAURANT,5228 MISSION St,San Francisco,37.715315,-122.442007,POINT (-122.442007 37.715315)
1757,Dar Bar Pakistani/Indian Cusine,1412 Polk St,San Francisco,37.789784,-122.420455,POINT (-122.420455 37.789784)
2293,GOLD MIRROR ITALIAN RESTAURANT,800 TARAVAL,San Francisco,37.743118,-122.474802,POINT (-122.474802 37.743118)
61856,Yoppi Yogurt,101 California St,San Francisco,37.793424,-122.398168,POINT (-122.398168 37.793424)
2426,BOOGALOOS,3296 22nd St,San Francisco,37.755357,-122.420652,POINT (-122.420652 37.755357)
34611,Napoleon Super Bakery Corp,1049 Stockton St,San Francisco,37.795594,-122.408204,POINT (-122.408204 37.795594)
